"","qseqid","sseqid","stitle","evalue","bitscore","pident","qcovs","qcovhsp","query","superkingdom","phylum","class","order","family","genus","species"
"200","ASV287","gi|1829677128|gb|MT318440.1|","Bacterium strain 8WHB1 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1869227","Bacteria",NA,NA,NA,NA,NA,"bacterium"
"201","ASV288","gi|1834205016|gb|MT367801.1|","Enterobacter cloacae strain OsEp_Plm_30B10 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"550","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter cloacae"
"202","ASV289","gi|1004605555|gb|KT988024.1|","Snodgrassella sp. 15-3-5 16S ribosomal RNA gene, partial sequence",5.26e-122,451,98.814,100,100,"1812822","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Snodgrassella","Snodgrassella sp. 15-3-5"
"203","ASV290","gi|1827635806|dbj|LC515638.1|","Clostridium celatum G085 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"36834","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium celatum"
"204","ASV292","gi|1861039709|dbj|LC546536.1|","Methylobacterium sp. LE-141 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"409","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium sp."
"205","ASV293","gi|1861039800|dbj|LC546627.1|","Rhizobacter sp. SO-246 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1909292","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales",NA,"Rhizobacter","Rhizobacter sp."
"206","ASV294","gi|1825798914|gb|MT254872.1|","Bacterium strain BH2S2 16S ribosomal RNA gene, partial sequence",2.45e-120,446,98.419,100,100,"1869227","Bacteria",NA,NA,NA,NA,NA,"bacterium"
"207","ASV295","gi|153805702|gb|EF672729.1|","Bartonella tamiae strain Th339 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"373638","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Bartonellaceae","Bartonella","Bartonella tamiae"
"208","ASV297","gi|1173237691|gb|KY877818.1|","Uncultured bacterium clone denovo28292 16S ribosomal RNA gene, partial sequence",5.26e-122,451,98.814,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"209","ASV298","gi|1393901863|gb|MH414446.1|","Uncultured microorganism clone uncultured_Roseomonas_sp._OTU1394 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"358574",NA,NA,NA,NA,NA,NA,"uncultured microorganism"
"210","ASV3","gi|1800440836|dbj|LC519858.1|","Lactobacillus floricola JCM 16512 gene for 16S rRNA, partial sequence",5.23e-127,468,100,100,100,"679249","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Holzapfeliella","Holzapfeliella floricola"
"211","ASV30","gi|1050244022|gb|KU571842.1|","Uncultured bacterium clone denovo108514 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"212","ASV301","gi|1387901503|gb|MH312428.1|","Uncultured bacterium clone OTU_383 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"213","ASV302","gi|1834205044|gb|MT367829.1|","Agrobacterium larrymoorei strain OsEp_Plm_30P19 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"160699","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium larrymoorei"
"214","ASV304","gi|1841183609|gb|MN661341.1|","Cladosporium cladosporioides strain YFCC 8621 mitochondrion, complete genome",9.55e-125,460,97.753,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"215","ASV305","gi|1173237439|gb|KY877566.1|","Uncultured bacterium clone denovo27057 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"216","ASV306","gi|385889116|gb|JQ726767.1|","Wolbachia endosymbiont of Nysius expressus clone NeWlbSpr 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1175551","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Nysius expressus"
"217","ASV309","gi|1316013233|gb|MG717899.1|","Uncultured Novosphingobium sp. isolate DGGE gel band 11 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"292277","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","uncultured Novosphingobium sp."
"218","ASV31","gi|1790889221|gb|CP013210.1|","Empedobacter brevis strain BCLYD2 chromosome, complete genome",2.48e-110,412,96.047,100,100,"247","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Empedobacter","Empedobacter brevis"
"219","ASV310","gi|1858591710|gb|MT626032.1|","Burkholderia sp. strain B20003 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"36773","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp."
"220","ASV311","gi|115600403|gb|DQ870742.1|","Sphingomonas trueperi strain JSC_Ak7-3 16S ribosomal RNA (rrn) gene, partial sequence",5.23e-127,468,100,100,100,"53317","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas trueperi"
"221","ASV312","gi|1842074007|gb|MT476375.1|","Cronobacter sakazakii strain BW190346 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"28141","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter sakazakii"
"222","ASV313","gi|1851967025|gb|MT590312.1|","Wolbachia endosymbiont of Aedes albopictus clone WCAAL1 16S ribosomal RNA gene, partial sequence",8.87e-115,427,98.75,95,95,"167957","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia","Wolbachia endosymbiont of Aedes albopictus"
"223","ASV314","gi|1801968407|gb|MN989127.1|","Rhizobium sp. strain A3K072 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"391","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium sp."
"224","ASV315","gi|2554017588|gb|OR358855.1|","Aquaspirillum sp. strain VNRI13 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"1872580","Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Aquaspirillaceae","Aquaspirillum","Aquaspirillum sp."
"225","ASV316","gi|1477912798|gb|MH929752.1|","Dyadobacter sp. strain 0D29 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1914288","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Spirosomataceae","Dyadobacter","Dyadobacter sp."
"226","ASV317","gi|1821957397|gb|MT218359.1|","Pseudomonas sp. strain LY10J 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"306","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp."
"227","ASV32","gi|298397700|gb|HM112394.1|","Uncultured Acetobacteraceae bacterium clone SHOB703 16S ribosomal RNA gene, partial sequence",1.13e-123,457,99.209,100,100,"169975","Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,"uncultured Acetobacteraceae bacterium"
"228","ASV320","gi|1841577786|gb|MT464625.1|","Uncultured Sphingomonas sp. clone OTU_61 16S ribosomal RNA gene, partial sequence.",5.23e-127,468,100,100,100,"158754","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured Sphingomonas sp."
"229","ASV321","gi|1851824140|gb|MN865811.2|","Duganella vulcania strain FT82W 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2692166","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","Duganella vulcania"
"230","ASV322","gi|1152262794|gb|KY691400.1|","Uncultured bacterium clone 965 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"231","ASV323","gi|1100249132|gb|KU968335.1|","Uncultured bacterium clone 2201 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"232","ASV324","gi|1498752509|gb|MK108014.1|","Rhizobium sp. strain CM-CNRG 559 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"391","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Rhizobium","Rhizobium sp."
"233","ASV326","gi|1656648766|dbj|LC483264.1|","Sphingomonas sp. A-62T0LMR-180-329 gene for 16S rRNA, partial sequence",5.23e-127,468,100,100,100,"28214","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp."
"234","ASV327","gi|1861039728|dbj|LC546555.1|","Frondihabitans sp. LE-207 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1978225","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Frondihabitans","Frondihabitans sp."
"235","ASV328","gi|1858593063|gb|MT626819.1|","Pseudomonas laurentiana strain SeaQual_P_B70/W 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2364649","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas laurentiana"
"236","ASV329","gi|160280511|gb|EU137037.1|","Uncultured bacterium clone TLSrainDecBC10 16S ribosomal RNA gene, partial sequence",2.59e-80,313,92.627,86,86,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"237","ASV332","gi|2795019730|gb|PQ249921.1|","Uncultured bacterium clone OTU36 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"238","ASV333","gi|1858806443|gb|MT631985.1|","Pseudomonas brenneri strain XJC-6 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"129817","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas brenneri"
"239","ASV335","gi|1852325290|gb|MT597709.1|","Leuconostoc mesenteroides strain 1885 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1245","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc mesenteroides"
"240","ASV337","gi|1862839760|emb|LR797942.1|","Pedobacter sp. Marseille-Q2390 partial 16S rRNA gene, strain Marseille-Q2390",5.23e-127,468,100,100,100,"2730403","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter ghigonis"
"241","ASV338","gi|1049565623|gb|KX656655.1|","Lactobacillus timberlakei strain HV_25 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"2008380","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus","Apilactobacillus timberlakei"
"242","ASV340","gi|1002655854|gb|KU223796.1|","Uncultured bacterium clone OTU_11733 16S ribosomal RNA gene, partial sequence",1.46e-127,470,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"243","ASV341","gi|1841183609|gb|MN661341.1|","Cladosporium cladosporioides strain YFCC 8621 mitochondrion, complete genome",2.05e-126,466,98.127,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"244","ASV342","gi|1841183609|gb|MN661341.1|","Cladosporium cladosporioides strain YFCC 8621 mitochondrion, complete genome",2.05e-126,466,98.127,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"245","ASV343","gi|1841183609|gb|MN661341.1|","Cladosporium cladosporioides strain YFCC 8621 mitochondrion, complete genome",2.05e-126,466,98.127,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"246","ASV344","gi|1111657918|gb|KY301943.1|","Uncultured bacterium clone denovo99970 16S ribosomal RNA gene, partial sequence",2.47e-115,429,97.233,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"247","ASV345","gi|1111654649|gb|KY298674.1|","Uncultured bacterium clone denovo35980 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"248","ASV346","gi|1273480683|dbj|LC317344.1|","Uncultured Aurantimonas sp. gene for 16S ribosomal RNA, partial sequence, clone: Tw319",5.23e-127,468,100,100,100,"499800","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Aurantimonas","uncultured Aurantimonas sp."
"249","ASV35","gi|1861039560|dbj|LC546446.1|","Enterobacteriaceae bacterium BA-234 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"1849603","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,"Enterobacteriaceae bacterium"
"250","ASV350","gi|1207090115|gb|KY041603.1|","Uncultured bacterium clone 14ABF_B_43 16S ribosomal RNA gene, partial sequence",4.1e-118,438,98.016,99,99,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"251","ASV352","gi|1789854624|gb|MN905501.1|","Flavobacterium sp. strain dhung19 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"239","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp."
"252","ASV353","gi|1060740973|gb|KU505487.1|","Uncultured bacterium clone 273 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"253","ASV355","gi|939371539|gb|KJ654753.1|","Sphingomonas sp. M72C17 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1713171","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas sp. M72C17"
"254","ASV356","gi|1774728340|gb|MN684217.1|","Curvibacter delicatus strain MT_CG_19_I.27F 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"80879","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter","Curvibacter delicatus"
"255","ASV358","gi|1008321670|gb|KU151414.1|","Uncultured bacterium clone 1.6G_88029 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"256","ASV359","gi|1771902382|emb|LR639420.1|","uncultured bacterium partial 16S rRNA gene",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"257","ASV360","gi|1334115270|gb|MG831365.1|","Serratia endosymbiont of Lasius claviger isolate MB407_M228-2 16S ribosomal RNA gene, partial sequence",5.3e-117,435,97.628,100,100,"2077324","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia endosymbiont of Lasius claviger"
"258","ASV362","gi|1842697939|gb|CP053344.1|","Herbiconiux sp. SALV-R1 chromosome, complete genome",5.23e-127,468,100,100,100,"2735133","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Herbiconiux","Herbiconiux sp. SALV-R1"
"259","ASV364","gi|1189449906|gb|MF048600.1|","Uncultured bacterium clone A2018 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"260","ASV367","gi|1002700935|gb|KU120613.1|","Uncultured bacterium clone 24829 16S ribosomal RNA gene, partial sequence",4.31e-88,339,90.625,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"261","ASV368","gi|1137141931|gb|KY519291.1|","Uncultured bacterium clone ELA_111314_OTU_3921 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"262","ASV369","gi|1189448657|gb|MF047351.1|","Uncultured bacterium clone A769 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"263","ASV37","gi|1830434212|gb|MT323147.1|","Hafnia alvei strain P33 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"569","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia alvei"
"264","ASV370","gi|2637771867|emb|OY971798.1|","uncultured Gammaproteobacteria bacterium partial 16S rRNA gene",5.23e-127,468,100,100,100,"86473","Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA,"uncultured Gammaproteobacteria bacterium"
"265","ASV371","gi|1834205005|gb|MT367790.1|","Acinetobacter radioresistens strain OsEp_Plm_15B15 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"40216","Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter","Acinetobacter radioresistens"
"266","ASV372","gi|1841183609|gb|MN661341.1|","Cladosporium cladosporioides strain YFCC 8621 mitochondrion, complete genome",9.55e-125,460,97.753,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"267","ASV373","gi|943814965|gb|KT908642.1|","Uncultured bacterium clone 814 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"268","ASV374","gi|2593339078|gb|OR689436.1|","Acarospora glaucocarpa voucher Kaufmann 8228 small subunit ribosomal RNA gene, partial sequence; mitochondrial",5.98e-112,418,96.443,91,91,"1609008","Eukaryota","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","Acarospora","Acarospora glaucocarpa"
"269","ASV375","gi|697280212|emb|LN547188.1|","Uncultured bacterium partial 16S rRNA gene, isolate Mineral.top.2.1.6_256643",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"270","ASV376","gi|1851536214|gb|CP028942.1|","Polynucleobacter tropicus strain MWH-UH21B chromosome, complete genome",5.23e-127,468,100,100,100,"1743174","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter tropicus"
"271","ASV377","gi|1844126486|gb|MT505163.1|","Luteimonas terrae strain L168 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1530191","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Lysobacteraceae","Luteimonas","Luteimonas terrae"
"272","ASV378","gi|1861039673|dbj|LC546500.1|","Methylobacterium sp. BR-218 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"409","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium sp."
"273","ASV381","gi|1109492298|gb|KY276879.1|","Uncultured bacterium clone CP_Otu1515 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"274","ASV382","gi|2235892989|tpg|BK012092.1|","TPA_asm: Phytophthora lateralis strain SMST21 mitochondrion, complete genome",6.84e-121,448,98.425,100,100,"129355","Eukaryota","Oomycota",NA,"Peronosporales","Peronosporaceae","Phytophthora","Phytophthora lateralis"
"275","ASV383","gi|1173234746|gb|KY874873.1|","Uncultured bacterium clone denovo1391 16S ribosomal RNA gene, partial sequence",2.5e-105,396,94.882,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"276","ASV384","gi|34304222|gb|AY291273.1|","Cladosporium cladosporioides strain ALI 50 small subunit ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product",2.05e-126,466,98.127,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"277","ASV385","gi|1002653775|gb|KU221717.1|","Uncultured bacterium clone OTU_265 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"278","ASV386","gi|1841183609|gb|MN661341.1|","Cladosporium cladosporioides strain YFCC 8621 mitochondrion, complete genome",4.44e-123,455,97.378,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"279","ASV387","gi|1841183609|gb|MN661341.1|","Cladosporium cladosporioides strain YFCC 8621 mitochondrion, complete genome",4.41e-128,472,98.502,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"280","ASV388","gi|1586045852|gb|MK592804.1|","Erwinia sp. strain HP15 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"558","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Erwinia","Erwinia sp."
"281","ASV389","gi|1189449142|gb|MF047836.1|","Uncultured bacterium clone A1254 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"282","ASV391","gi|1859609919|gb|MT641229.1|","Pseudomonas extremaustralis strain WS-1 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"359110","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas extremaustralis"
"283","ASV392","gi|2795022217|gb|PQ250989.1|","Uncultured Hymenobacter sp. clone OTU1261 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"170016","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","uncultured Hymenobacter sp."
"284","ASV394","gi|1771900670|emb|LR637708.1|","uncultured bacterium partial 16S rRNA gene",1.88e-126,466,100,99,99,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"285","ASV395","gi|2700654192|gb|OQ928042.1|","Primula calyptrata plastid, complete genome",2.55e-90,346,91.6,99,99,"690488","Eukaryota","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Primula","Primula calyptrata"
"286","ASV396","gi|1917889739|gb|MW143655.1|","Uncultured Sphingomonas sp. clone OTU84 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"158754","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured Sphingomonas sp."
"287","ASV398","gi|1827635775|dbj|LC515607.1|","Mediterraneibacter sp. O124 gene for 16S ribosomal RNA, partial sequence",5.23e-127,468,100,100,100,"2316022","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter sp."
"288","ASV4","gi|1785000536|gb|MN841897.1|","Gilliamella sp. strain B8843-T3 16S ribosomal RNA gene, partial sequence",2.45e-120,446,98.419,100,100,"1891236","Bacteria","Pseudomonadota","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella","Gilliamella sp."
"289","ASV40","gi|1855411426|gb|MT611577.1|","Enterococcus thailandicus strain 2545 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"417368","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus thailandicus"
"290","ASV402","gi|1052474994|gb|KX703219.1|","Uncultured bacterium clone 1176 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"77133","Bacteria",NA,NA,NA,NA,NA,"uncultured bacterium"
"291","ASV403","gi|939598625|gb|KR851548.1|","Uncultured Gemmatimonas sp. clone OTU_20264 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"221169","Bacteria","Gemmatimonadota","Gemmatimonadia","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured Gemmatimonas sp."
"292","ASV404","gi|1841183609|gb|MN661341.1|","Cladosporium cladosporioides strain YFCC 8621 mitochondrion, complete genome",4.41e-128,472,98.502,98,98,"29917","Eukaryota","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium cladosporioides"
"293","ASV405","gi|2508454184|gb|OR021750.1|","Zymobacter sp. strain 36_Tf_h_17 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"3048686","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Zymobacter","Zymobacter sp."
"294","ASV406","gi|2027310278|gb|MT527665.2|","Aureimonas sp. strain SYSU_D00817 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1872658","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae","Aureimonas","Aureimonas sp."
"295","ASV407","gi|1846256301|gb|MT527612.1|","Devosia sp. strain SYSU_D00609 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1871048","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Devosia sp."
"296","ASV409","gi|1859799322|gb|MT645243.1|","Agrobacterium pusense strain AS05 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"648995","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Agrobacterium","Agrobacterium pusense"
"297","ASV41","gi|1825798914|gb|MT254872.1|","Bacterium strain BH2S2 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1869227","Bacteria",NA,NA,NA,NA,NA,"bacterium"
"298","ASV410","gi|254654066|gb|FJ544452.1|","Legionella sp. S090 16S ribosomal RNA gene, partial sequence",5.26e-122,451,98.814,100,100,"660938","Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella sp. S090"
"299","ASV411","gi|1585206658|gb|MK585227.1|","Mycobacterium sp. strain 2-1-4 16S ribosomal RNA gene, partial sequence",2.43e-125,462,99.605,100,100,"1785","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp."
"300","ASV412","gi|1789139662|gb|MN894070.1|","Pseudomonas glareae strain KMM 9500 16S ribosomal RNA gene, partial sequence",5.23e-127,468,100,100,100,"1577705","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas glareae"
